ts,regime,side,factor,weight
2026-03-06 00:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 00:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 00:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 00:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 00:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 00:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 00:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 00:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 00:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
2026-03-06 04:00:00+00:00,weak,long,L1_momo,0.11122962057464578
2026-03-06 04:00:00+00:00,weak,long,L2_flow,0.17894410827172666
2026-03-06 04:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 04:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 04:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 04:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 04:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 04:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 04:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 04:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 04:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 04:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
2026-03-06 08:00:00+00:00,weak,long,L1_momo,0.11122962057464578
2026-03-06 08:00:00+00:00,weak,long,L2_flow,0.17894410827172666
2026-03-06 08:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 08:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 08:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 08:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 08:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 08:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 08:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 08:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 08:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 08:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
2026-03-06 12:00:00+00:00,weak,long,L1_momo,0.11122962057464578
2026-03-06 12:00:00+00:00,weak,long,L2_flow,0.17894410827172666
2026-03-06 12:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 12:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 12:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 12:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 12:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 12:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 12:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 12:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 12:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 12:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
2026-03-06 16:00:00+00:00,weak,long,L1_momo,0.11122962057464578
2026-03-06 16:00:00+00:00,weak,long,L2_flow,0.17894410827172666
2026-03-06 16:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 16:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 16:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 16:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 16:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 16:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 16:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 16:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 16:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 16:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
2026-03-06 20:00:00+00:00,weak,long,L1_momo,0.11122962057464578
2026-03-06 20:00:00+00:00,weak,long,L2_flow,0.17894410827172666
2026-03-06 20:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 20:00:00+00:00,weak,long,L4_oi,0.3280831174889213
2026-03-06 20:00:00+00:00,weak,long,L5_cost,0.2204488423400267
2026-03-06 20:00:00+00:00,weak,long,L6_rebound,0.16129431132467958
2026-03-06 20:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 20:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 20:00:00+00:00,weak,short,S2_whale_exit,0.12081591139064986
2026-03-06 20:00:00+00:00,weak,short,S3_price_oi_div,0.27637404939247623
2026-03-06 20:00:00+00:00,weak,short,S4_activity_oi_div,0.5428354927165397
2026-03-06 20:00:00+00:00,weak,short,S5_upper_wick,0.05997454650033423
